time x y z vx vy vz
0.0 -476.0 491.0 -412.0 45.0 102.0 142.0
14.2857 -476.0 493.0 -410.0 43.0 103.0 142.0
28.5714 -475.0 494.0 -408.0 45.0 105.0 144.0
42.8571 -474.0 496.0 -406.0 47.0 106.0 146.0
57.1429 -474.0 497.0 -404.0 47.0 105.0 146.0
71.4286 -473.0 499.0 -402.0 48.0 107.0 147.0
85.7143 -472.0 500.0 -400.0 49.0 109.0 149.0
100.0 -472.0 502.0 -398.0 49.0 108.0 150.0
114.286 -471.0 504.0 -396.0 53.0 109.0 151.0
128.571 -470.0 505.0 -394.0 57.0 109.0 150.0
142.857 -469.0 507.0 -391.0 59.0 112.0 151.0
157.143 -468.0 508.0 -389.0 60.0 114.0 152.0
171.429 -467.0 510.0 -387.0 61.0 114.0 154.0
185.714 -467.0 512.0 -385.0 62.0 115.0 154.0
200.0 -466.0 513.0 -383.0 63.0 117.0 158.0
214.286 -465.0 515.0 -380.0 63.0 117.0 161.0
228.571 -464.0 517.0 -378.0 64.0 118.0 163.0
242.857 -463.0 518.0 -376.0 66.0 119.0 165.0
257.143 -462.0 520.0 -373.0 70.0 119.0 166.0
271.429 -461.0 522.0 -371.0 71.0 122.0 170.0
285.714 -460.0 523.0 -368.0 73.0 124.0 171.0
300.0 -459.0 525.0 -366.0 75.0 126.0 176.0
314.286 -458.0 527.0 -363.0 78.0 126.0 177.0
328.571 -457.0 529.0 -361.0 80.0 127.0 178.0
342.857 -456.0 531.0 -358.0 81.0 129.0 182.0
357.143 -454.0 533.0 -356.0 82.0 129.0 183.0
371.429 -453.0 534.0 -353.0 87.0 130.0 185.0
385.714 -452.0 536.0 -351.0 87.0 131.0 187.0
400.0 -451.0 538.0 -348.0 91.0 130.0 187.0
414.286 -449.0 540.0 -345.0 94.0 131.0 190.0
428.571 -448.0 542.0 -342.0 97.0 134.0 191.0
442.857 -447.0 544.0 -340.0 97.0 133.0 192.0
457.143 -445.0 546.0 -337.0 102.0 134.0 194.0
471.429 -444.0 548.0 -334.0 102.0 134.0 197.0
485.714 -442.0 550.0 -331.0 104.0 133.0 200.0
500.0 -441.0 551.0 -328.0 108.0 135.0 203.0
514.286 -439.0 553.0 -326.0 111.0 136.0 206.0
528.571 -438.0 555.0 -322.0 118.0 135.0 205.0
542.857 -436.0 557.0 -320.0 122.0 135.0 207.0
557.143 -434.0 559.0 -317.0 126.0 138.0 211.0
571.429 -432.0 561.0 -314.0 129.0 137.0 211.0
585.714 -431.0 563.0 -311.0 135.0 136.0 213.0
600.0 -428.0 565.0 -308.0 140.0 136.0 215.0
614.286 -427.0 567.0 -304.0 144.0 137.0 219.0
628.571 -424.0 569.0 -301.0 147.0 136.0 222.0
642.857 -422.0 571.0 -298.0 153.0 134.0 223.0
657.143 -420.0 573.0 -295.0 156.0 136.0 227.0
671.429 -418.0 575.0 -292.0 160.0 135.0 231.0
685.714 -415.0 577.0 -288.0 166.0 132.0 233.0
700.0 -413.0 579.0 -285.0 171.0 131.0 235.0
714.286 -410.0 580.0 -282.0 178.0 127.0 236.0
728.571 -408.0 582.0 -278.0 185.0 124.0 239.0
742.857 -405.0 584.0 -275.0 188.0 121.0 240.0
757.143 -403.0 586.0 -271.0 193.0 120.0 242.0
771.429 -400.0 587.0 -268.0 199.0 117.0 242.0
785.714 -397.0 589.0 -265.0 205.0 114.0 244.0
800.0 -394.0 591.0 -261.0 213.0 110.0 244.0
814.286 -391.0 592.0 -258.0 219.0 106.0 245.0
828.571 -388.0 594.0 -254.0 226.0 101.0 246.0
842.857 -384.0 595.0 -251.0 231.0 97.0 246.0
857.143 -381.0 596.0 -247.0 236.0 93.0 248.0
871.429 -377.0 598.0 -244.0 245.0 87.0 248.0
885.714 -374.0 599.0 -240.0 253.0 81.0 250.0
900.0 -370.0 600.0 -236.0 254.0 75.0 250.0
914.286 -367.0 601.0 -233.0 260.0 68.0 247.0
928.571 -363.0 602.0 -229.0 263.0 60.0 245.0
942.857 -359.0 603.0 -226.0 267.0 54.0 245.0
957.143 -355.0 603.0 -222.0 273.0 49.0 244.0
971.429 -351.0 604.0 -219.0 275.0 44.0 241.0
985.714 -347.0 605.0 -215.0 278.0 38.0 238.0
1000.0 -343.0 605.0 -212.0 280.0 32.0 237.0
1014.29 -339.0 606.0 -209.0 281.0 26.0 235.0
1028.57 -335.0 606.0 -205.0 281.0 20.0 232.0
1042.86 -331.0 606.0 -202.0 284.0 14.0 229.0
1057.14 -327.0 606.0 -199.0 285.0 7.0 224.0
1071.43 -323.0 606.0 -196.0 287.0 2.0 220.0
1085.71 -319.0 606.0 -192.0 288.0 -3.0 219.0
1100.0 -315.0 606.0 -189.0 288.0 -9.0 215.0
1114.29 -311.0 606.0 -186.0 286.0 -14.0 211.0
1128.57 -307.0 606.0 -183.0 286.0 -19.0 207.0
1142.86 -303.0 605.0 -180.0 286.0 -25.0 204.0
1157.14 -299.0 605.0 -178.0 286.0 -31.0 200.0
1171.43 -295.0 605.0 -175.0 286.0 -34.0 199.0
1185.71 -290.0 604.0 -172.0 284.0 -41.0 194.0
1200.0 -286.0 603.0 -169.0 283.0 -45.0 190.0
1214.29 -282.0 603.0 -166.0 281.0 -53.0 187.0
1228.57 -278.0 602.0 -164.0 280.0 -57.0 186.0
1242.86 -274.0 601.0 -161.0 279.0 -60.0 182.0
1257.14 -270.0 600.0 -159.0 277.0 -64.0 179.0
1271.43 -266.0 599.0 -156.0 274.0 -66.0 179.0
1285.71 -263.0 598.0 -154.0 271.0 -69.0 176.0
1300.0 -259.0 597.0 -151.0 270.0 -72.0 173.0
1314.29 -255.0 596.0 -149.0 270.0 -76.0 171.0
1328.57 -251.0 595.0 -146.0 268.0 -77.0 169.0
1342.86 -247.0 594.0 -144.0 265.0 -79.0 166.0
1357.14 -243.0 593.0 -141.0 263.0 -81.0 164.0
1371.43 -240.0 592.0 -139.0 263.0 -83.0 163.0
1385.71 -236.0 591.0 -137.0 261.0 -88.0 159.0
