time x y z vx vy vz
0.0 -1.0 3.0 -1.0 -1.0 2.0 -2.0
14.2857 -1.0 3.0 -1.0 -2.0 1.0 -0.0
28.5714 -1.0 3.0 -1.0 -1.0 1.0 -2.0
42.8571 -1.0 3.0 -1.0 -2.0 5.0 -1.0
57.1429 -1.0 3.0 -1.0 -3.0 4.0 -1.0
71.4286 -1.0 3.0 -1.0 -4.0 5.0 -0.0
85.7143 -1.0 3.0 -1.0 -4.0 6.0 -1.0
100.0 -1.0 3.0 -2.0 -5.0 3.0 -2.0
114.286 -2.0 3.0 -2.0 -4.0 6.0 -1.0
128.571 -2.0 3.0 -2.0 -4.0 5.0 -1.0
142.857 -2.0 3.0 -2.0 -6.0 6.0 -1.0
157.143 -2.0 3.0 -2.0 -7.0 8.0 -1.0
171.429 -2.0 3.0 -2.0 -8.0 9.0 -0.0
185.714 -2.0 3.0 -2.0 -6.0 8.0 -0.0
200.0 -2.0 3.0 -2.0 -7.0 7.0 -0.0
214.286 -2.0 3.0 -2.0 -4.0 8.0 0.0
228.571 -2.0 3.0 -2.0 -4.0 8.0 -0.0
242.857 -2.0 4.0 -2.0 -6.0 8.0 1.0
257.143 -2.0 4.0 -2.0 -4.0 9.0 -0.0
271.429 -2.0 4.0 -2.0 -5.0 9.0 -0.0
285.714 -2.0 4.0 -2.0 -4.0 9.0 -0.0
300.0 -3.0 4.0 -2.0 -5.0 8.0 1.0
314.286 -3.0 4.0 -2.0 -3.0 7.0 1.0
328.571 -3.0 4.0 -2.0 -5.0 9.0 1.0
342.857 -3.0 4.0 -2.0 -7.0 8.0 1.0
357.143 -3.0 4.0 -2.0 -4.0 8.0 0.0
371.429 -3.0 4.0 -2.0 -5.0 8.0 -0.0
385.714 -3.0 5.0 -2.0 -7.0 7.0 -1.0
400.0 -3.0 5.0 -2.0 -7.0 7.0 -1.0
414.286 -3.0 5.0 -2.0 -8.0 9.0 -2.0
428.571 -3.0 5.0 -2.0 -7.0 11.0 -2.0
442.857 -3.0 5.0 -2.0 -9.0 11.0 -2.0
457.143 -3.0 5.0 -2.0 -4.0 10.0 -2.0
471.429 -3.0 5.0 -2.0 -6.0 10.0 -3.0
485.714 -3.0 5.0 -2.0 -6.0 10.0 -2.0
500.0 -3.0 6.0 -2.0 -5.0 9.0 -3.0
514.286 -4.0 6.0 -2.0 -2.0 10.0 -2.0
528.571 -4.0 6.0 -2.0 -3.0 9.0 -3.0
542.857 -4.0 6.0 -2.0 -4.0 8.0 -3.0
557.143 -4.0 6.0 -2.0 -2.0 8.0 -4.0
571.429 -4.0 6.0 -2.0 -4.0 7.0 -2.0
585.714 -4.0 6.0 -2.0 -4.0 5.0 -2.0
600.0 -4.0 6.0 -2.0 -6.0 5.0 -1.0
614.286 -4.0 6.0 -2.0 -5.0 4.0 -2.0
628.571 -4.0 6.0 -2.0 -4.0 5.0 -3.0
642.857 -4.0 7.0 -2.0 -6.0 6.0 -2.0
657.143 -4.0 7.0 -2.0 -5.0 6.0 0.0
671.429 -4.0 7.0 -2.0 -6.0 8.0 -1.0
685.714 -4.0 7.0 -2.0 -7.0 10.0 -0.0
700.0 -4.0 7.0 -2.0 -8.0 8.0 -1.0
714.286 -4.0 7.0 -2.0 -7.0 9.0 -1.0
728.571 -5.0 7.0 -2.0 -9.0 10.0 -2.0
742.857 -5.0 7.0 -2.0 -7.0 13.0 -2.0
757.143 -5.0 8.0 -2.0 -6.0 13.0 -3.0
771.429 -5.0 8.0 -2.0 -7.0 11.0 -6.0
785.714 -5.0 8.0 -3.0 -7.0 11.0 -6.0
800.0 -5.0 8.0 -3.0 -6.0 11.0 -6.0
814.286 -5.0 8.0 -3.0 -6.0 10.0 -7.0
828.571 -5.0 8.0 -3.0 -7.0 9.0 -9.0
842.857 -5.0 9.0 -3.0 -7.0 10.0 -10.0
857.143 -5.0 9.0 -3.0 -8.0 8.0 -9.0
871.429 -5.0 9.0 -3.0 -10.0 10.0 -9.0
885.714 -5.0 9.0 -3.0 -10.0 11.0 -8.0
900.0 -6.0 9.0 -3.0 -12.0 9.0 -8.0
914.286 -6.0 9.0 -4.0 -10.0 11.0 -7.0
928.571 -6.0 10.0 -4.0 -9.0 10.0 -9.0
942.857 -6.0 10.0 -4.0 -10.0 11.0 -9.0
957.143 -6.0 10.0 -4.0 -10.0 11.0 -9.0
971.429 -6.0 10.0 -4.0 -9.0 7.0 -10.0
985.714 -6.0 10.0 -4.0 -9.0 9.0 -9.0
1000.0 -7.0 10.0 -4.0 -6.0 9.0 -8.0
1014.29 -7.0 11.0 -4.0 -6.0 10.0 -8.0
1028.57 -7.0 11.0 -5.0 -6.0 9.0 -8.0
1042.86 -7.0 11.0 -5.0 -7.0 9.0 -8.0
1057.14 -7.0 11.0 -5.0 -6.0 10.0 -8.0
1071.43 -7.0 11.0 -5.0 -4.0 10.0 -9.0
1085.71 -7.0 11.0 -5.0 -6.0 12.0 -9.0
1100.0 -7.0 11.0 -5.0 -6.0 13.0 -11.0
1114.29 -7.0 12.0 -5.0 -7.0 15.0 -10.0
1128.57 -7.0 12.0 -5.0 -7.0 14.0 -12.0
1142.86 -7.0 12.0 -6.0 -6.0 16.0 -10.0
1157.14 -8.0 12.0 -6.0 -8.0 16.0 -10.0
1171.43 -8.0 12.0 -6.0 -10.0 15.0 -11.0
1185.71 -8.0 13.0 -6.0 -7.0 16.0 -11.0
1200.0 -8.0 13.0 -6.0 -8.0 17.0 -12.0
1214.29 -8.0 13.0 -6.0 -9.0 17.0 -11.0
1228.57 -8.0 13.0 -7.0 -10.0 17.0 -11.0
1242.86 -8.0 14.0 -7.0 -10.0 18.0 -12.0
1257.14 -8.0 14.0 -7.0 -8.0 17.0 -10.0
1271.43 -9.0 14.0 -7.0 -7.0 18.0 -10.0
1285.71 -9.0 15.0 -7.0 -8.0 18.0 -11.0
1300.0 -9.0 15.0 -7.0 -9.0 19.0 -12.0
1314.29 -9.0 15.0 -7.0 -9.0 20.0 -11.0
1328.57 -9.0 15.0 -8.0 -9.0 18.0 -12.0
1342.86 -9.0 16.0 -8.0 -8.0 18.0 -11.0
1357.14 -9.0 16.0 -8.0 -9.0 19.0 -11.0
1371.43 -9.0 16.0 -8.0 -9.0 19.0 -11.0
1385.71 -10.0 16.0 -8.0 -9.0 17.0 -12.0
1400.0 -10.0 17.0 -8.0 -8.0 16.0 -13.0
1414.29 -10.0 17.0 -9.0 -8.0 15.0 -14.0
1428.57 -10.0 17.0 -9.0 -9.0 14.0 -13.0
1442.86 -10.0 17.0 -9.0 -8.0 16.0 -15.0
1457.14 -10.0 17.0 -9.0 -10.0 17.0 -14.0
1471.43 -10.0 18.0 -9.0 -10.0 16.0 -15.0
1485.71 -11.0 18.0 -10.0 -12.0 18.0 -14.0
1500.0 -11.0 18.0 -10.0 -11.0 20.0 -14.0
1514.29 -11.0 19.0 -10.0 -10.0 19.0 -15.0
1528.57 -11.0 19.0 -10.0 -12.0 22.0 -14.0
1542.86 -11.0 19.0 -10.0 -8.0 22.0 -14.0
1557.14 -11.0 19.0 -11.0 -10.0 23.0 -14.0
1571.43 -11.0 20.0 -11.0 -12.0 23.0 -15.0
1585.71 -12.0 20.0 -11.0 -9.0 23.0 -15.0
1600.0 -12.0 20.0 -11.0 -13.0 24.0 -13.0
1614.29 -12.0 21.0 -11.0 -13.0 24.0 -12.0
1628.57 -12.0 21.0 -12.0 -14.0 25.0 -13.0
1642.86 -12.0 21.0 -12.0 -14.0 26.0 -13.0
1657.14 -13.0 22.0 -12.0 -13.0 25.0 -12.0
1671.43 -13.0 22.0 -12.0 -15.0 28.0 -14.0
1685.71 -13.0 23.0 -12.0 -12.0 27.0 -14.0
1700.0 -13.0 23.0 -13.0 -13.0 28.0 -14.0
1714.29 -13.0 23.0 -13.0 -13.0 28.0 -14.0
1728.57 -14.0 24.0 -13.0 -14.0 27.0 -14.0
1742.86 -14.0 24.0 -13.0 -14.0 26.0 -14.0
1757.14 -14.0 24.0 -13.0 -13.0 28.0 -14.0
1771.43 -14.0 25.0 -14.0 -14.0 28.0 -14.0
1785.71 -14.0 25.0 -14.0 -14.0 28.0 -15.0
1800.0 -15.0 26.0 -14.0 -15.0 28.0 -15.0
1814.29 -15.0 26.0 -14.0 -15.0 28.0 -15.0
1828.57 -15.0 26.0 -14.0 -15.0 27.0 -15.0
1842.86 -15.0 27.0 -15.0 -15.0 29.0 -15.0
1857.14 -15.0 27.0 -15.0 -17.0 29.0 -15.0
1871.43 -15.0 28.0 -15.0 -18.0 28.0 -14.0
1885.71 -16.0 28.0 -15.0 -20.0 30.0 -13.0
1900.0 -16.0 28.0 -15.0 -20.0 31.0 -13.0
1914.29 -16.0 29.0 -16.0 -22.0 30.0 -12.0
1928.57 -17.0 29.0 -16.0 -22.0 30.0 -15.0
1942.86 -17.0 30.0 -16.0 -22.0 31.0 -15.0
1957.14 -17.0 30.0 -16.0 -22.0 33.0 -15.0
1971.43 -18.0 31.0 -16.0 -23.0 35.0 -16.0
1985.71 -18.0 31.0 -17.0 -23.0 34.0 -15.0
2000.0 -18.0 32.0 -17.0 -22.0 34.0 -15.0
2014.29 -19.0 32.0 -17.0 -23.0 35.0 -16.0
2028.57 -19.0 33.0 -17.0 -22.0 36.0 -16.0
2042.86 -19.0 33.0 -18.0 -23.0 35.0 -16.0
2057.14 -20.0 34.0 -18.0 -21.0 39.0 -16.0
2071.43 -20.0 34.0 -18.0 -23.0 38.0 -16.0
2085.71 -20.0 35.0 -18.0 -23.0 39.0 -18.0
2100.0 -20.0 35.0 -18.0 -21.0 38.0 -18.0
2114.29 -21.0 36.0 -19.0 -21.0 38.0 -17.0
2128.57 -21.0 37.0 -19.0 -20.0 37.0 -17.0
2142.86 -21.0 37.0 -19.0 -20.0 39.0 -16.0
2157.14 -21.0 38.0 -19.0 -19.0 39.0 -17.0
2171.43 -22.0 38.0 -20.0 -20.0 39.0 -17.0
2185.71 -22.0 39.0 -20.0 -19.0 40.0 -17.0
2200.0 -22.0 39.0 -20.0 -22.0 40.0 -19.0
2214.29 -23.0 40.0 -20.0 -21.0 40.0 -19.0
2228.57 -23.0 41.0 -21.0 -22.0 40.0 -21.0
2242.86 -23.0 41.0 -21.0 -24.0 40.0 -20.0
2257.14 -24.0 42.0 -21.0 -23.0 42.0 -20.0
2271.43 -24.0 42.0 -22.0 -23.0 42.0 -20.0
2285.71 -24.0 43.0 -22.0 -24.0 40.0 -19.0
2300.0 -25.0 43.0 -22.0 -23.0 40.0 -20.0
2314.29 -25.0 44.0 -22.0 -22.0 41.0 -19.0
2328.57 -25.0 45.0 -23.0 -23.0 41.0 -18.0
2342.86 -26.0 45.0 -23.0 -23.0 43.0 -18.0
2357.14 -26.0 46.0 -23.0 -24.0 44.0 -19.0
2371.43 -26.0 46.0 -23.0 -24.0 44.0 -17.0
2385.71 -27.0 47.0 -24.0 -24.0 44.0 -19.0
2400.0 -27.0 48.0 -24.0 -24.0 43.0 -19.0
2414.29 -27.0 48.0 -24.0 -24.0 46.0 -19.0
2428.57 -28.0 49.0 -24.0 -22.0 44.0 -19.0
